ID,Region_of_residence,Age_of_Subject,Time_spent_on_Online_Class,Rating_of_Online_Class_experience,Medium_for_online_class,Time_spent_on_self_study,Time_spent_on_fitness,Time_spent_on_sleep,Time_spent_on_social_media,Prefered_social_media_platform,Time_spent_on_TV,Number_of_meals_per_day,Change_in_your_weight,Health_issue_during_lockdown,Stress_busters,Time_utilized,Do_you_find_yourself_more_connected_with_your_family_close_friends _relatives,What_you_miss_the_most,,,Social_Platform
R1,Delhi-NCR,21,2,Good,Laptop/Desktop,4,0,7,3,1,1,4,Increased,0,Cooking,1,1,School/college,,,
R2,Delhi-NCR,21,0,Excellent,Smartphone,0,2,10,3,5,0,3,Decreased,0,Scrolling through social media,1,0,Roaming around freely,,,
R3,Delhi-NCR,20,7,Very poor,Laptop/Desktop,3,0,6,2,1,0,3,Remain Constant,0,Listening to music,0,1,Travelling,,,
R4,Delhi-NCR,20,3,Very poor,Smartphone,2,1,6,5,6,0,3,Decreased,0,Watching web series,0,0,"Friends , relatives",,,
R5,Delhi-NCR,21,3,Good,Laptop/Desktop,3,1,8,3,6,1,4,Remain Constant,0,Social Media,0,0,Travelling,,,
R6,Delhi-NCR,21,0,Very poor,Smartphone,6,0,5,1,5,0,1,Decreased,1,Coding and studying for exams,0,1,School/college,,,
R7,Delhi-NCR,19,2,Very poor,Smartphone,2,1,5,4,6,0,3,Increased,0,Watching web series,0,1,"Friends , relatives",,,
R8,Outside Delhi-NCR,19,2,Very poor,Tablet,1,1,10,5,6,0,3,Increased,1,Scrolling through social media,0,1,Eating outside,,,
R9,Delhi-NCR,21,3,Very poor,Laptop/Desktop,4,1,8,2,7,1,3,Increased,0,Online surfing,0,0,"Friends , relatives",,,
R10,Outside Delhi-NCR,20,0,Very poor,Laptop/Desktop,1,0.5,8,5,6,3,3,Decreased,1,live stream watching,0,0,School/college,,,
R11,Delhi-NCR,21,3,Good,Laptop/Desktop,3,1,8,3,6,1,4,Remain Constant,0,Social Media,0,0,Colleagues,,,
R12,Delhi-NCR,21,1,Very poor,Laptop/Desktop,0,1,7,3,6,1,2,Increased,1,Watching web series,1,1,Eating outside,,,
R13,Delhi-NCR,21,3,Average,Laptop/Desktop,0,0,8,3,6,0,3,Increased,1,Listening to music,0,0,School/college,,,
R14,Outside Delhi-NCR,22,1,Good,Laptop/Desktop,2,0,7,0,0,0.5,2,Increased,0,Reading,1,1,Travelling,,,
R15,Delhi-NCR,20,5,Very poor,Laptop/Desktop,1,0,8,3,6,0,3,Remain Constant,0,Scrolling through social media,0,0,Eating outside,,,
R16,Delhi-NCR,22,3,Average,Smartphone,3,1,6,2,6,1,3,Increased,0,Online gaming,1,1,Eating outside,,,
R17,Outside Delhi-NCR,20,0,Good,Smartphone,0,0,8,2,9,1,3,Increased,0,Online gaming,0,1,Colleagues,,,
R18,Delhi-NCR,20,1,Very poor,Smartphone,2,1,8,1,5,0,3,Remain Constant,0,Listening to music,0,0,Roaming around freely,,,
R19,Delhi-NCR,21,0,Very poor,Laptop/Desktop,4,0,7,7,5,0,2,Remain Constant,0,Reading books,0,0,"Friends , relatives",,,
R20,Delhi-NCR,22,5,Very poor,Smartphone,2,1,8,4,6,0,3,Increased,0,Dancing,1,1,"Friends , relatives",,,
R21,Delhi-NCR,20,4,Excellent,Laptop/Desktop,5,0,6,2,1,1,2,Decreased,0,Listening to music,1,1,Roaming around freely,,,
R22,Delhi-NCR,21,5,Average,Laptop/Desktop,2,1,10,5,6,2,3,Remain Constant,0,Talking with friends ,1,0,School/college,,,
R23,Delhi-NCR,21,4,Very poor,Smartphone,1,0,8,6,6,1,4,Decreased,0,Watching web series,0,1,School/college,,,
R24,Delhi-NCR,21,4,Average,Laptop/Desktop,2,1,7,1,1,0,3,Decreased,0,Dancing,1,1,Travelling,,,
R25,Delhi-NCR,20,3,Very poor,Smartphone,4,2,9,2,6,1,3,Decreased,0,Reading books,1,0,School/college,,,
R26,Delhi-NCR,20,5,Very poor,Smartphone,2,0,9,5,1,3,2,Increased,0,Talking to your relatives,1,1,Eating outside,,,
R27,Delhi-NCR,21,4,Very poor,Laptop/Desktop,5,0,8,3,6,0,2,Increased,1,Listening to music,0,1,School/college,,,
R28,Delhi-NCR,20,3,Very poor,Laptop/Desktop,6,0,9,2,7,0,2,Remain Constant,0,Listening to music,0,0,Roaming around freely,,,
R29,Delhi-NCR,31,8,Average,Laptop/Desktop,4,1,6,2,1,0.5,3,Remain Constant,0,Listening to music,1,1,Job,,,
R30,Delhi-NCR,22,4,Very poor,Smartphone,6,1,5,3,5,0,4,Remain Constant,0,"sketching,reading books,meditation,songs",0,0,"Friends , relatives",,,
R31,Delhi-NCR,19,4,Very poor,Smartphone,5,1,7,2,7,1,2,Decreased,1,Listening to music,1,1,Roaming around freely,,,
R32,Delhi-NCR,23,4,Excellent,Laptop/Desktop,8,1,8,2,8,0,2,Decreased,0,Reading books,1,1,Travelling,,,
R33,Delhi-NCR,21,0,Very poor,NA,5,2,4,2,10,0,3,Remain Constant,0,Watching orgasm releasing videos,1,0,0thing this is my usual life,,,
R34,Delhi-NCR,22,5,Very poor,Laptop/Desktop,1,0,6,2,1,0.5,3,Decreased,1,Watching web series,1,1,"Friends , relatives",,,
R35,Delhi-NCR,20,0,NA,NA,6,1,6,5,6,0,4,Increased,0,Talking to your relatives,1,0,Eating outside,,,
R36,Outside Delhi-NCR,21,6,Average,Smartphone,2,1,8,3,6,1,3,Remain Constant,0,Cooking,0,1,"Friends , relatives",,,
R37,Delhi-NCR,17,4,Very poor,Laptop/Desktop,1,1,7,1.5,6,0,3,Decreased,0,Reading books,0,1,Travelling,,,
R38,Outside Delhi-NCR,20,4,Average,Laptop/Desktop,2,0,8,2,6,0,3,Increased,0,Sleep,0,1,Eating outside,,,
R39,Outside Delhi-NCR,22,1,Very poor,Smartphone,2,0.5,8,2,1,2,3,Increased,0,Listening to music,0,1,School/college,,,
R40,Delhi-NCR,20,0,NA,NA,8,0,8,0,5,0,3,Increased,0,Reading books,0,1,Travelling,,,
R41,Delhi-NCR,24,4,Good,Laptop/Desktop,4,2,6,4,5,0,4,Increased,0,Social Media,1,1,Travelling,,,
R42,Outside Delhi-NCR,21,0,Very poor,Laptop/Desktop,0,0,10,8,5,1,4,Remain Constant,0,Watching web series,1,0,Travelling,,,
R43,Delhi-NCR,20,7,Very poor,Smartphone,2,1,8,2,7,2,4,Remain Constant,1,Listening to music,0,0,Roaming around freely,,,
R44,Delhi-NCR,21,5,Very poor,Laptop/Desktop,3,1,8,1,6,0,2,Increased,0,Listening to music,0,0,Eating outside,,,
R45,Delhi-NCR,18,2,Average,Smartphone,2,3,12,1,1,0,4,Remain Constant,0,Sleep,0,0,"Friends , relatives",,,
R46,Delhi-NCR,22,3,Very poor,Laptop/Desktop,2,0,8,1,6,0,4,Increased,0,Cooking,0,1,Eating outside,,,
R47,Delhi-NCR,20,2,Very poor,Smartphone,6,2,7,1,6,3,6,Decreased,0,Listening to music,1,0,Roaming around freely,,,
R48,Delhi-NCR,20,2,Very poor,Smartphone,3,0,6,2,5,0,3,Decreased,1,Reading books,0,0,School/college,,,
R49,Delhi-NCR,21,3,Very poor,Laptop/Desktop,4,2,8,2,2,0,4,Increased,0,Listening to music,1,1,Travelling,,,
R50,Delhi-NCR,18,4,Good,Laptop/Desktop,2,0,8,4,6,0,3,Remain Constant,0,Social Media,1,1,Colleagues,,,
R51,Delhi-NCR,19,0,Very poor,Smartphone,1,0,8,2,5,2,3,Remain Constant,1,Online gaming,0,1,School/college,,,
R52,Delhi-NCR,20,5,Average,Laptop/Desktop,6,1,7,2,7,0,3,Remain Constant,0,Reading books,0,1,Roaming around freely,,,
R53,Delhi-NCR,21,3,Average,Laptop/Desktop,7,0,5,1,5,0,3,Increased,0,Online gaming,0,0,"Friends , relatives",,,
R54,Delhi-NCR,19,0,Average,Smartphone,2,2,10,1,6,0.5,4,Remain Constant,0,Reading books,1,1,Roaming around freely,,,
R55,Delhi-NCR,21,4,Average,Smartphone,4,1,8,2,5,2,4,Remain Constant,0,Sleep,1,1,Gym,,,
R56,Delhi-NCR,19,4,Very poor,Smartphone,2,0,7,1,7,0,3,Increased,1,Watching web series,1,1,Roaming around freely,,,
R57,Delhi-NCR,19,2,Very poor,Smartphone,2,2,8,1,5,0,4,Increased,0,Listening to music,0,1,"Friends , relatives",,,
R58,Delhi-NCR,18,1,Very poor,Smartphone,8,0,8,5,5,2,3,Increased,0,Online surfing,1,1,School/college,,,
R59,Delhi-NCR,20,5,Average,Laptop/Desktop,1,1,7,1,7,0,3,Increased,1,Listening to music,0,1,School/college,,,
R60,Delhi-NCR,21,0,Very poor,Smartphone,5,0,8,1,6,1,3,Remain Constant,0,Online gaming,1,0,Eating outside,,,
R61,Delhi-NCR,22,6,Very poor,Laptop/Desktop,6,0,6,1,6,0,2,Increased,0,Watching web series,1,0,"Friends , relatives",,,
R62,Delhi-NCR,20,3,Very poor,Laptop/Desktop,6,1,8,1,6,2,4,Increased,0,Sleep,1,1,Roaming around freely,,,
R63,Delhi-NCR,18,0,Very poor,Laptop/Desktop,2,1,6,5,6,0,1,Remain Constant,0,Crying,0,1,"Friends , relatives",,,
R64,Delhi-NCR,20,2,Very poor,Laptop/Desktop,0,1,8,2,6,0,3,Increased,0,Watching web series,0,1,School/college,,,
R65,Delhi-NCR,23,2,Very poor,Smartphone,1,1,7,5,6,1,4,Decreased,0,Listening to music,1,1,Roaming around freely,,,
R66,Delhi-NCR,20,4,Average,Smartphone,4,2,7,2,6,1,3,Increased,0,Listening to music,0,1,Eating outside,,,
R67,Outside Delhi-NCR,19,0,NA,NA,0,2,6,4,6,0.5,3,Remain Constant,0,Listening to music,0,1,Eating outside,,,
R68,Delhi-NCR,18,3,Average,Smartphone,1,1,8,3,7,0.5,4,Remain Constant,0,Dancing,1,1,Roaming around freely,,,
R69,Delhi-NCR,20,1.5,Very poor,Smartphone,3,2,9,1,5,1,2,Decreased,1,Sleep,0,1,Travelling,,,
R70,Delhi-NCR,19,2,Very poor,Tablet,2,1,8,5,6,0,4,Decreased,0,Scrolling through social media,0,1,Roaming around freely,,,
R71,Outside Delhi-NCR,20,2,Very poor,Smartphone,3,1,6,2,6,1,4,Increased,0,Listening to music,0,0,Travelling,,,
R72,Delhi-NCR,22,6,Very poor,Smartphone,4,0,7,2,7,0,1,Increased,0,Online gaming,0,0,Eating outside,,,
R73,Delhi-NCR,20,2,Very poor,Smartphone,2,0,7,3,7,2,2,Remain Constant,0,Reading books,0,0,"Friends , relatives",,,
R74,Delhi-NCR,19,1,Average,Laptop/Desktop,0.5,1,7,5,6,2,3,Remain Constant,0,Many of these,0,1,"Friends , relatives",,,
R75,Delhi-NCR,18,3,Very poor,Smartphone,2,2,8,8,6,0,4,Remain Constant,0,Listening to music,0,1,School/college,,,
R76,Outside Delhi-NCR,19,3,Average,Smartphone,5,0,5,4,4,0,2,Increased,1,Listening to music,1,0,Roaming around freely,,,
R77,Delhi-NCR,19,0,Very poor,Smartphone,1,1,8,2,6,0,3,Decreased,0,Listening to music,1,1,School/college,,,
R78,Delhi-NCR,20,3,Average,Laptop/Desktop,3,0,10,10,3,4.5,3,Increased,0,Scrolling through social media,0,0,School/college,,,
R79,Delhi-NCR,20,3,Excellent,Laptop/Desktop,0,1,8,5,5,1,3,Increased,0,Online surfing,0,1,School/college,,,
R80,Delhi-NCR,19,1,Good,Laptop/Desktop,4,0,8,2,0,0,4,Increased,0,Web Series,1,1,Travelling,,,
R81,Delhi-NCR,21,5,Average,Laptop/Desktop,5,0,8,7,6,1,2,Increased,1,Scrolling through social media,0,1,"Friends , relatives",,,
R82,Delhi-NCR,21,3,Good,Smartphone,2,1,10,1,5,0,3,Remain Constant,0,Online gaming,0,0,Colleagues,,,
R83,Delhi-NCR,19,2,Very poor,Smartphone,2,0.5,9,3,6,1,2,Increased,0,Online gaming,1,1,School/college,,,
R84,Delhi-NCR,20,0,Very poor,Laptop/Desktop,1,1,12,2,6,2,2,Increased,0,Online gaming,0,1,Roaming around freely,,,
R85,Outside Delhi-NCR,21,1,Poor,Smartphone,8,0,10,1,7,0,3,Decreased,0,Sleep,1,1,School/college,,,
