Age_of_Subject,Time_spent_on_Online_Class,Rating_of_Online_Class_experience,Medium_for_online_class,Time_spent_on_self_study,Time_spent_on_fitness,Time_spent_on_sleep,Prefered_social_media_platform,Number_of_meals_per_day,Change_in_your_weight,Health_issue_during_lockdown,Time_utilized,Family_Relation,Mental_Health,Time_spent_on_social_media
21,2.0,1,1,4.0,0.0,7.0,1,4,1,0,1,1,0,3
21,0.0,2,2,0.0,2.0,10.0,5,3,2,0,1,0,0,3
20,7.0,3,1,3.0,0.0,6.0,1,3,0,0,0,1,1,2
20,3.0,3,2,2.0,1.0,6.0,6,3,2,0,0,0,0,5
21,3.0,1,1,3.0,1.0,8.0,6,4,0,0,0,0,0,3
21,0.0,3,2,6.0,0.0,5.0,5,1,2,1,0,1,1,1
19,2.0,3,2,2.0,1.0,5.0,6,3,1,0,0,1,0,4
19,2.0,3,3,1.0,1.0,10.0,6,3,1,1,0,1,0,5
21,3.0,3,1,4.0,1.0,8.0,7,3,1,0,0,0,1,2
20,0.0,3,1,1.0,0.5,8.0,6,3,2,1,0,0,0,5
21,3.0,1,1,3.0,1.0,8.0,6,4,0,0,0,0,0,3
21,1.0,3,1,0.0,1.0,7.0,6,2,1,1,1,1,0,3
21,3.0,4,1,0.0,0.0,8.0,6,3,1,1,0,0,0,3
22,1.0,1,1,2.0,0.0,7.0,0,2,1,0,1,1,1,0
20,5.0,3,1,1.0,0.0,8.0,6,3,0,0,0,0,0,3
22,3.0,4,2,3.0,1.0,6.0,6,3,1,0,1,1,1,2
20,0.0,1,2,0.0,0.0,8.0,9,3,1,0,0,1,1,2
20,1.0,3,2,2.0,1.0,8.0,5,3,0,0,0,0,1,1
21,0.0,3,1,4.0,0.0,7.0,5,2,0,0,0,0,0,7
22,5.0,3,2,2.0,1.0,8.0,6,3,1,0,1,1,0,4
20,4.0,2,1,5.0,0.0,6.0,1,2,2,0,1,1,1,2
21,5.0,4,1,2.0,1.0,10.0,6,3,0,0,1,0,0,5
21,4.0,3,2,1.0,0.0,8.0,6,4,2,0,0,1,0,6
21,4.0,4,1,2.0,1.0,7.0,1,3,2,0,1,1,1,1
20,3.0,3,2,4.0,2.0,9.0,6,3,2,0,1,0,1,2
20,5.0,3,2,2.0,0.0,9.0,1,2,1,0,1,1,0,5
21,4.0,3,1,5.0,0.0,8.0,6,2,1,1,0,1,0,3
20,3.0,3,1,6.0,0.0,9.0,7,2,0,0,0,0,1,2
31,8.0,4,1,4.0,1.0,6.0,1,3,0,0,1,1,1,2
22,4.0,3,2,6.0,1.0,5.0,5,4,0,0,0,0,0,3
19,4.0,3,2,5.0,1.0,7.0,7,2,2,1,1,1,1,2
23,4.0,2,1,8.0,1.0,8.0,8,2,2,0,1,1,1,2
21,0.0,3,0,5.0,2.0,4.0,10,3,0,0,1,0,1,2
22,5.0,3,1,1.0,0.0,6.0,1,3,2,1,1,1,1,2
20,0.0,0,0,6.0,1.0,6.0,6,4,1,0,1,0,0,5
21,6.0,4,2,2.0,1.0,8.0,6,3,0,0,0,1,0,3
17,4.0,3,1,1.0,1.0,7.0,6,3,2,0,0,1,1,1
20,4.0,4,1,2.0,0.0,8.0,6,3,1,0,0,1,1,2
22,1.0,3,2,2.0,0.5,8.0,1,3,1,0,0,1,1,2
20,0.0,0,0,8.0,0.0,8.0,5,3,1,0,0,1,1,0
24,4.0,1,1,4.0,2.0,6.0,5,4,1,0,1,1,0,4
21,0.0,3,1,0.0,0.0,10.0,5,4,0,0,1,0,0,8
20,7.0,3,2,2.0,1.0,8.0,7,4,0,1,0,0,1,2
21,5.0,3,1,3.0,1.0,8.0,6,2,1,0,0,0,1,1
18,2.0,4,2,2.0,3.0,12.0,1,4,0,0,0,0,1,1
22,3.0,3,1,2.0,0.0,8.0,6,4,1,0,0,1,1,1
20,2.0,3,2,6.0,2.0,7.0,6,6,2,0,1,0,0,1
20,2.0,3,2,3.0,0.0,6.0,5,3,2,1,0,0,1,2
21,3.0,3,1,4.0,2.0,8.0,2,4,1,0,1,1,1,2
18,4.0,1,1,2.0,0.0,8.0,6,3,0,0,1,1,0,4
19,0.0,3,2,1.0,0.0,8.0,5,3,0,1,0,1,1,2
20,5.0,4,1,6.0,1.0,7.0,7,3,0,0,0,1,1,2
21,3.0,4,1,7.0,0.0,5.0,5,3,1,0,0,0,1,1
19,0.0,4,2,2.0,2.0,10.0,6,4,0,0,1,1,1,1
21,4.0,4,2,4.0,1.0,8.0,5,4,0,0,1,1,1,2
19,4.0,3,2,2.0,0.0,7.0,7,3,1,1,1,1,1,1
19,2.0,3,2,2.0,2.0,8.0,5,4,1,0,0,1,1,1
18,1.0,3,2,8.0,0.0,8.0,5,3,1,0,1,1,0,5
20,5.0,4,1,1.0,1.0,7.0,7,3,1,1,0,1,1,1
21,0.0,3,2,5.0,0.0,8.0,6,3,0,0,1,0,1,1
22,6.0,3,1,6.0,0.0,6.0,6,2,1,0,1,0,1,1
20,3.0,3,1,6.0,1.0,8.0,6,4,1,0,1,1,1,1
18,0.0,3,1,2.0,1.0,6.0,6,1,0,0,0,1,0,5
20,2.0,3,1,0.0,1.0,8.0,6,3,1,0,0,1,1,2
23,2.0,3,2,1.0,1.0,7.0,6,4,2,0,1,1,0,5
20,4.0,4,2,4.0,2.0,7.0,6,3,1,0,0,1,1,2
19,0.0,0,0,0.0,2.0,6.0,6,3,0,0,0,1,0,4
18,3.0,4,2,1.0,1.0,8.0,7,4,0,0,1,1,0,3
20,1.5,3,2,3.0,2.0,9.0,5,2,2,1,0,1,1,1
